secs,cad,hr,km,kph,nm,watts,alt,lon,lat,headwind,slope,temp,interval,lrbalance,lte,rte,lps,rps,smo2,thb,o2hb,hhb
53,79,140,0,0,0,237,212.4,5.68641800,45.19787500,0,0,-255,0,-255,0,0,0,0,0,0,0,0
54,80,140,0,0,0,227,212.4,5.68641800,45.19787500,0,0,-255,0,-255,0,0,0,0,0,0,0,0
55,78,140,0.003,2.16,0,219,212.4,5.68642500,45.19788100,0,0,-255,0,-255,0,0,0,0,0,0,0,0
56,78,140,0.006,4.32,0,228,212.4,5.68643500,45.19788800,0,0,-255,0,-255,0,0,0,0,0,0,0,0
57,79,140,0.007,5.04,0,234,212.4,5.68644500,45.19789700,0,0,-255,0,-255,0,0,0,0,0,0,0,0
58,80,140,0.008,5.76,0,240,212.4,5.68645300,45.19790700,0,0,-255,0,-255,0,0,0,0,0,0,0,0
59,79,140,0.0085,6.12,0,248,212.4,5.68645900,45.19791600,0,0,-255,0,-255,0,0,0,0,0,0,0,0
60,80,139,0.009,4.32,0,237,212.4,5.68646400,45.19792400,0,0,-255,0,-255,0,0,0,0,0,0,0,0
61,80,140,0.009,2.16,0,234,212.4,5.68646800,45.19793000,0,0,-255,0,-255,0,0,0,0,0,0,0,0
62,79,139,0.009,1.44,0,239,212.4,5.68646800,45.19793000,0,0,-255,0,-255,0,0,0,0,0,0,0,0
63,78,140,0.009,0.72,0,234,212.4,5.68646800,45.19793000,0,0,-255,0,-255,0,0,0,0,0,0,0,0
64,79,140,0.009,0.36,0,239,212.4,5.68646800,45.19793000,0,0,-255,0,-255,0,0,0,0,0,0,0,0
65,80,140,0.009,0,0,241,212.4,5.68646800,45.19793000,0,0,-255,0,-255,0,0,0,0,0,0,0,0
66,79,140,0.009,0,0,235,212.4,5.68646800,45.19793000,0,0,-255,0,-255,0,0,0,0,0,0,0,0
67,80,140,0.009,0,0,241,212.4,5.68646800,45.19793000,0,0,-255,0,-255,0,0,0,0,0,0,0,0
68,80,140,0.009,0,0,244,212.4,5.68646800,45.19793000,0,0,-255,0,-255,0,0,0,0,0,0,0,0
69,79,140,0.009,0,0,239,212.4,5.68646800,45.19793000,0,0,-255,0,-255,0,0,0,0,0,0,0,0
70,80,139,0.009,0,0,240,212.4,5.68646800,45.19793000,0,0,-255,0,-255,0,0,0,0,0,0,0,0
71,80,139,0.009,0,0,238,212.4,5.68646800,45.19793000,0,0,-255,0,-255,0,0,0,0,0,0,0,0
72,79,139,0.009,0,0,243,212.4,5.68646800,45.19793000,0,0,-255,0,-255,0,0,0,0,0,0,0,0
73,81,138,0.009,0,0,257,212.2,5.68646800,45.19793000,0,0,-255,0,-255,0,0,0,0,0,0,0,0
74,81,138,0.009,0,0,272,212.2,5.68646800,45.19793000,0,0,-255,0,-255,0,0,0,0,0,0,0,0
75,82,137,0.009,0,0,269,212.2,5.68646800,45.19793000,0,0,-255,0,-255,0,0,0,0,0,0,0,0
76,82,137,0.009,0,0,262,212.2,5.68646800,45.19793000,0,0,-255,0,-255,0,0,0,0,0,0,0,0
77,82,137,0.009,0,0,253,212.2,5.68646800,45.19793000,0,0,-255,0,-255,0,0,0,0,0,0,0,0
78,82,137,0.009,0,0,243,212.2,5.68646800,45.19793000,0,0,-255,0,-255,0,0,0,0,0,0,0,0
